star_name,planet_amount,star_temp,star_radius,star_mass,star_metallicity,star_surfaceGravity
NGTS-2,1,6478,1.702,1.64,-0.06,4.197
NGTS-20,1,5980,1.78,1.47,0.15,3.8
NGTS-21,1,4660,0.86,0.72,-0.26,4.63
NGTS-23,1,6057,1.24,1.01,-0.26,4.04
NGTS-24,1,5820,1.64,1.26,0.27,4.09
NGTS-25,1,5321,0.86,0.91,0.12,4.48
NGTS-5,1,4987,0.739,0.661,0.12,4.52
NGTS-8,1,5241,0.98,0.89,0.24,4.41
NGTS-9,1,6330,1.38,1.34,0.31,4.37
OGLE-TR-111,1,5044,0.83,0.81,0.19,4.51
OGLE-TR-56,1,6119,1.15,1.17,0.25,4.21
PH2,1,5711,0.961,0.958,-0.03,4.45
POTS-1,1,4400,0.588,0.695,-0.03,4.63
Qatar-10,1,6124,1.254,1.156,0.016,4.303
Qatar-3,1,6007,1.272,1.145,-0.041,4.286
Qatar-4,1,5215,0.849,0.896,0.103,4.533
Qatar-5,1,5747,1.076,1.128,0.377,4.427
Qatar-7,1,6387,1.564,1.409,0.276,4.196
Qatar-8,1,5738,1.315,1.029,0.025,4.214
Qatar-9,1,4309,0.696,0.719,0.252,4.61
Ross 176,1,4041,0.569,0.577,-0.19,5.07
Ross 508,1,3071,0.2113,0.1774,-0.2,5.039
SPECULOOS-3,1,2800,0.123,0.1009,0.07,5.265
TIC 139270665,2,5844,1.016,1.035,0.156,4.439
TIC 237913194,1,5788,1.088,1.026,0.14,4.376
TIC 257060897,1,5993,1.863,1.187,0.054,3.972
TIC 434398831,2,5638,0.909,0.992,-0.081,4.42
TIC 88785435,1,3998,0.911,0.724,-0.08,4.19
TOI-1062,2,5328,0.84,0.94,0.14,4.55
TOI-1107,1,6311,1.81,1.35,-0.1,4.05
TOI-1117,3,5635,1.05,0.97,0.136,4.41
TOI-1130,2,4250,0.687,0.684,0.2,4.6
TOI-1135,1,6122,1.16,1.125,0,4.56
TOI-1181,1,5990,1.75,1.19,0.05,3.9
TOI-1203,4,5737,1.179,0.886,-0.39,4.34
TOI-1231,1,3553,0.476,0.485,0.041,4.767
TOI-1235,1,3997,0.619,0.63,0.33,4.64
TOI-1238,2,4089,0.58,0.59,0.31,4.63
TOI-1246,4,5151,0.86,0.87,0.17,4.4
TOI-125,3,5282,0.852,0.871,0.069,4.518
TOI-1260,3,4227,0.65,0.66,-0.1,4.57
TOI-1266,3,3573,0.4232,0.437,-0.08,4.826
TOI-1268,1,5257,0.86,0.9,0.17,4.52
TOI-1278,1,3799,0.573,0.54,-0.01,4.68
TOI-1288,2,5225,1.01,0.89,0.07,4.24
TOI-1295,1,6280,1.7,1.38,0.26,4.1
TOI-132,1,5397,0.9,0.97,0.16,4.48
TOI-1386,2,5793,1.015,1.038,0.164,4.441
TOI-1408,2,6117,1.53,1.312,0.25,4.1
TOI-1416,1,4884,0.793,0.798,0.08,4.52
TOI-1422,1,5840,1.019,0.981,-0.09,4.41
TOI-1431,1,7690,1.92,1.9,0.09,4.15
TOI-1438,2,5230,0.82,0.876,0.03,4.5
TOI-1444,1,5377,0.91,0.88,0.04,4.4
TOI-1468,2,3496,0.344,0.339,-0.04,5
TOI-1470,2,3709,0.469,0.471,0,4.77
TOI-150,1,6255,1.526,1.351,0.28,4.13
TOI-1516,1,6520,1.14,1.14,-0.05,4.25
TOI-1518,1,7300,1.95,1.79,-0.1,4.1
TOI-157,1,5404,1.167,0.948,0.24,4.281
TOI-163,1,6495,1.648,1.4352,0.22,4.187
TOI-1670,2,6170,1.316,1.21,0.09,4.29
TOI-1680,1,3225,0.2106,0.1798,0.04,5.046
TOI-1685,1,3434,0.492,0.495,-0.13,4.85
TOI-169,1,5880,1.288,1.147,0.24,4.278
TOI-1695,1,3690,0.515,0.513,0,4.725
TOI-1696,1,3185,0.2775,0.255,0.336,4.959
TOI-1728,1,3980,0.6243,0.646,0.25,4.657
TOI-1743,1,3277,0.338,0.339,0.22,4.909
TOI-1749,3,3985,0.55,0.58,-0.26,4.7
TOI-1759,1,4065,0.597,0.606,0.05,4.65
